model,params,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_error_mean,test_error_std
Z2,207562,93.9,0.0,94.21000000000001,0.10000000000000142,5.789999999999992,0.10000000000000142
P4,91050,97.875,0.07500000000000284,97.75999999999999,0.00999999999999801,2.240000000000009,0.00999999999999801
P4M,102082,96.42500000000001,0.02499999999999858,95.845,0.13500000000000512,4.155000000000001,0.13500000000000512
