model,params,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_error_mean,test_error_std
Z2,207562,93.3,0.5499999999999972,93.39,0.3299999999999983,6.609999999999999,0.3299999999999983
P4,91050,97.92500000000001,0.02499999999999858,97.88499999999999,0.035000000000003695,2.115000000000009,0.035000000000003695
P4M,102082,95.8,0.0,95.31,0.240000000000002,4.689999999999998,0.240000000000002
